symbol,num_articles_query,num_articles_global,num_articles_expected,score
MIR8070,2,2,0.0007830609693483465,2554.0795395081113
MOB1B,103,226,0.08848588953636317,1164.0274007492717
MOB1A,307,739,0.28934102817421403,1061.031689619743
SAV1,382,966,0.3782184481952514,1009.998327217493
VGLL4,126,365,0.14290862690607326,881.6822519945807
STK3,484,1572,0.6154859219078004,786.3705452429554
LINC01048,4,13,0.005089896300764253,785.8706275409572
LATS1,675,2262,0.8856419563329799,762.1590137789456
WWC3,21,82,0.03210549974328221,654.0935406057357
TEAD3,65,259,0.10140639553061088,640.9852126178656
AMOTL2,80,351,0.1374272001206348,582.1263907710795
AMOT,147,658,0.257627058915606,570.5922375496845
WWC1,162,731,0.2862087842968207,566.020363064725
WWTR1,180,898,0.3515943752374076,511.95358252946545
LATS2,466,2383,0.933017144978555,499.4549162445571
TEAD4,229,1222,0.47845025227183974,478.62865347574257
AMOTL1,82,450,0.176188718103378,465.41004942147794
MAP3K10,126,705,0.27602899169529216,456.4737900397475
STK4,118,690,0.2701560344251796,436.78461690138704
TEAD1,254,1492,0.5841634831338666,434.80978755701085
WBP2,34,211,0.08261293226625056,411.5578404894586
WTIP,16,100,0.03915304846741733,408.65272632129773
MOB4,17,108,0.04228529234481072,402.0310386262767
MST1,542,3599,1.4091182143423497,384.63770781144655
MIR6886,2,14,0.005481426785438426,364.86850564401584
TEAD2,107,787,0.30813449143857435,347.2509666167318
MOB2,16,118,0.04620059719155245,346.31586976381163
LINC00649,4,32,0.012528975509573544,319.2599424385139
VGLL1,22,179,0.07008395675667702,313.9092171462483
FRMD1,5,41,0.016052749871641105,311.47311457415987
TAZ,897,7680,3.006954122297651,298.30850871598636
STK24,144,1284,0.5027251423216386,286.4388268607227
PJA2,15,134,0.052465084946339224,285.9044260643408
PTPN14,82,784,0.30695989998455186,267.13587020365446
STK38L,28,273,0.1068878223160493,261.9568758469857
MIR4269,6,59,0.023100298595776225,259.7369023228587
TCEAL9,5,50,0.019576524233708665,255.40795395081108
CYR61,364,3777,1.4788106406143526,246.14375228513433
MIR6894,2,21,0.008222140178157639,243.2456704293439
STK38,79,836,0.3273194851876089,241.35440624538367
ANKRD1,77,820,0.3210549974328221,239.8342982221031
STRN3,13,139,0.05442273736971009,238.87074829931973
AJUBA,63,691,0.27054756490985377,232.8610868147771
MOB3A,3,33,0.01292050599424772,232.18904904619188
RASSF5,64,706,0.2764205221799663,231.531289700452
WBP1,8,89,0.034846213136001426,229.58018332657176
RASSF6,22,248,0.09709956019919498,226.57157205313885
TAOK1,47,542,0.2122095226934019,221.47922206066647
SIKE1,7,86,0.0336716216819789,207.89019507624158
VGLL3,15,185,0.07243313966472205,207.0875302303874
FAM118B,3,37,0.014486627932944413,207.08753023038736
STK26,29,360,0.14095097448270238,205.74529623815337
LIMD1,18,230,0.09005201147505985,199.88448570063477
NOP16,6,80,0.03132243877393386,191.55596546310832
MIR550A1,2,27,0.01057132308620268,189.1910770006008
COMMD2,2,27,0.01057132308620268,189.1910770006008
RNF187,4,58,0.022708768111102052,176.14341651780074
YAP1,1352,19845,7.769922468358968,174.00431027538255
STRIP1,8,122,0.04776671913024914,167.48062554151548
SGMS1,122,1905,0.7458655733043001,163.56834846193675
STK25,19,299,0.1170676149175778,162.29936873128466
A2M-AS1,2,32,0.012528975509573544,159.62997121925696
FAT4,54,864,0.33828233875848573,159.62997121925693
WWC2,20,322,0.1260728160650838,158.6384807147895
TEF,87,1411,0.5524495138752584,157.48045353451855
THAP12,4,66,0.02584101198849544,154.7926993641279
VGLL2,7,116,0.045417536222204104,154.12548945307566
CRB3,19,317,0.12411516364171295,153.08363170553343
