symbol,num_articles_query,num_articles_global,num_articles_expected,score
C12orf66,21,33,0.14604025613592397,143.795968013468
PRR5,195,336,1.4869553352021352,131.14045552248675
WDR59,40,71,0.31420782380759404,127.30427751695356
WDR24,41,73,0.3230587484218924,126.91190131912735
RRAGB,165,325,1.4382752498234936,114.72073931623932
MLST8,587,1244,5.505275110093619,106.6250075175658
DEPTOR,610,1295,5.730973687758229,106.43915558415559
ITFG2,22,48,0.21242219074316215,103.56733410493827
CASTOR1,60,135,0.5974374114651436,100.42893004115226
TBC1D7,138,311,1.3763187775234047,100.2674687388353
TTI1,99,238,1.0532600291015124,93.99388305322128
RRAGC,181,458,2.0268617366743387,89.30061519488922
EIF4EBP1,2850,7279,32.21294013373911,88.47376203996275
RHEB,1342,3457,15.298823195814823,87.71916524711
RPTOR,1958,5094,22.543304992618083,86.85505522110253
RRAGD,84,229,1.0134308683371693,82.8867588549248
AKT1S1,950,2598,11.49735107397365,82.62772823824595
LAMTOR4,35,97,0.42926984379347355,81.53379629629629
SLC38A9,121,341,1.509082646737881,80.18116188769415
RRAGA,181,511,2.2614112389532472,80.03851616293396
PRR5L,53,157,0.6947975822224262,76.28120960132107
CASTOR2,13,39,0.17259302997881923,75.3216975308642
CRTC2,519,1582,7.001081369910052,74.13140521842956
RPS6KB1,4879,15780,69.83379520681456,69.86588635990236
CRTC1,848,2838,12.559462027689461,67.51881554563725
RHEBL1,20,69,0.30535689919329556,65.49712828770801
MIR7849,2,7,0.030978236150044483,64.56145502645502
FNIP2,50,183,0.8098596022083057,61.73909633677393
TSC2,2562,9460,41.86487342563154,61.196888712708486
DDIT4L,49,181,0.8010086775940073,61.17287037037037
RPS6,1060,3933,17.405343254017847,60.90083858330744
NPRL2,85,316,1.3984460890591508,60.78174958977965
RICTOR,1597,6207,27.468844540475157,58.138593985882125
EIF4EBP2,75,297,1.3143623052233158,57.061892068836514
SZT2,31,127,0.5620337130079499,55.15683362496354
BMT2,22,91,0.40271706995057827,54.62892348392348
LAMTOR1,65,270,1.1948748229302872,54.399003772290804
MAPKAP1,530,2284,10.107755909528798,52.43498208146851
LAMTOR2,44,191,0.8452633006654994,52.054785728136515
DEPDC5,115,508,2.2481348520317996,51.153515055409734
TEX37,4,18,0.07965832152868581,50.21446502057613
SEH1L,44,199,0.880666999122693,49.96213102549787
FKBP1A,312,1435,6.3505384107591185,49.12969260549748
FNIP1,50,238,1.0532600291015124,47.47165810768752
NPRL3,80,383,1.6949520636381479,47.198974954066344
RNF152,17,84,0.3717388338005338,45.731030643738976
TRERF1,165,857,3.7926211972268744,43.5055312459484
EIF4EBP3,24,128,0.566459175315099,42.36845486111111
EIF4B,240,1290,5.708846376222483,42.04001722652885
FKBP8,98,534,2.363196872017679,41.46924920238591
SESN1,146,801,3.5447953080265187,41.18714546631525
EIF4E,1397,7782,34.438947674235166,40.564537953206354
ATG13,370,2062,9.125303277341674,40.54659760390847
